"Tuesday, November 14"
"157: Taleb Rahmani (UP) pins Coleman Hammond (CSUB), 3:37 "

"165: Jake Wentzel (UP) tech. fall Bryan Battisto (CSUB), 15-0, 5:41"

"174: Bryan Battisto (CSUB) dec. Tommy O'Brien (UP), 4-2 "

"184: Gregg Harvey (UP) dec. Dom Ducharme (CSUB), 15-9 "

"197: Matt Williams (CSUB) maj. dec. Kellan Stout (UP), 11-3 "

"285: Ryan Solomon (UP) maj. dec. Jarrod Snyder (CSUB), 10-0 "



"Wisconsin 21, Pitt 6 "

"125: Ethan Rotondo (WISC) dec. Brendan Price (UP), 4-1"

"133: Michael Cullen (WISC) dec. Jake Cherry (UP), 6-5"

"141: Nick Zanetta (UP) dec. Cole Martin (WISC), 7-3"

"149: Zander Wick (WISC) dec. Robert Lee (UP), 6-3 "

"157: Andrew Crone (WISC) dec. Taleb Rahmani (UP), 3-1 "

"165: Evan Wick (WISC) dec. Jake Wentzel (UP), 6-3 "

"174: Ryan Christensen (WISC) maj. dec. Tommy O'Brien (UP), 11-0 "

"184: Ricky Robertson (WISC) maj. dec. Zach Bruce (UP), 9-1 "

"197: Hunter Ritter (WISC) dec. Kellan Stout (UP), 5-4"

"285: Ryan Solomon (UP) dec. Ben Stone (WISC), 4-0 "



"Wisconsin 22, CSU Bakersfield 18"

125: Sergio Mendez (CSUB) pinned Ethan Rotondo (Wisconsin) at 4:33

133: Sean Nickell (CSUB) def. Michael Cullen (Wisconsin) by decision (6-0)

141: Eli Stickley (Wisconsin) def. Russell Rohlfing (CSUB) by major decision (13-2)

149: Zander Wick (Wisconsin) def. Kalani Tonge (CSUB) by major decision (10-1)

"157: Jared Scharenbrock (Wisconsin) def. Coleman Hammond (CSUB) by decision, 11-8"

165: Evan Wick (Wisconsin) def. Lorenzo De La Riva (CSUB) by decision (7-1)

174: Ryan Christensen (Wisconsin) def. Bryan Battisto (CSUB) by tech fall (15-0)

184: Ricky Robertson (Wisconsin) def. Dominic Ducharme  (CSUB) by decision (7-2)

197: Matt Williams (CSUB) def. Hunter Ritter (Wisconsin) by decision (4-1)

285: Mark Penyacsek (CSUB) pinned Ben Stone (Wisconsin) at 3:19



"Illinois 33, Fresno State 10 "

"125: Travis Piotrowski (Illinois) wins by fall over Sean Williams (FS), 1:04 "

"133: Dylan Duncan (Illinois) maj. dec. over Trevor Williams (FS), 12-4 "

"141: Mike Carr (Illinois) dec. Chris De Loza (FS), 13-7"

"149: Khristian Olivas (FS) maj. dec. Eric Barone (Illinois), 10-2 "

"157: Greg Gaxiola (FS) dec. Kyle Langenderfer (Illinois), 9-5 "

"165: Isaiah Martinez (Illinois) tech. fall Isaiah Hokit (FS), 28-13"

"174: Eric Rojas (Illinois) pinned Dominic Kincaid (FS), Fall 4:22"

"184: Emery Parker (Illinois) pinned Angel Solis (FS), Fall 5:20 "

"197: Andre Lee (Illinois) dec. Richie Brandt (FS), 4-3"

"285: AJ Nevills (FS) dec. Duece Rachal (Illinois), 7-5 "



"Saturday, November 18:"
Lindenwood Open Finals - Videos & Coverage

"125: Barlow McGhee (Missouri) dec. over Christian Moody (Oklahoma), 3-2"

"133: John Erneste (Missouri) fall. Ian Parker (Iowa State), 0:45"

"141: Jaydin Eierman (Missouri) tf. Mike Longo (Oklahoma), 19-4"

"149: Boo Lewallen (OK State) dec. Jarrett Degen (Iowa State), 13-7"

"157: Joseph Lavallee (Missouri) dec. Luke Fortuna (Missouri), 5-3"

"165: DaWaylon Barnes (Oklahoma) dec. Connor Flynn (Missouri), 5-1"

"174: Daniel Lewis (Missouri) dec. Yoanse Mejias (Oklahoma), 6-0"

"184: Canten Marriott (Missouri) dec. Dane Pestano (Iowa State), 3-1"

"197: Jacob Warner (Iowa) md. William Miklus (Missouri), 16-7"

"285: Demetrius Thomas (Williams Baptist) dec. Austin Myers (Missouri), 7-1"



Navy Classic Finals (Full Results on Arena)

"125: Luke Welch (Purdue) DEC Michael Mcgee (Old Dominion), 4-2"

"133: Josh Terao (American) DEC Cameron Kelly (Ohio University), 4-3"

"141: Nicholas Gil U.S. Naval Academy) MD Alex Madrigal (Old Dominion), 11-2"

"149: Matthew Kolodzik (Princeton University) DEC Michael Sprague (American), 8-4"

"157: Justin Staudenmayer (Brown University) DEC Larry Early (Old Dominion), 3-2"

"165: Drew Daniels (U.S. Naval Academy) DEC Bryce Martin (Indiana University), 3-1 SV"

"174: Jadaen Bernstein (U.S. Naval Academy) DEC Devin Skatzka (Indiana), 5-3"

"184: Christian Lafragola (Brown) DEC Michael Coleman (U.S. Naval Academy), 8-6"

"197 Corey Griego (Oregon State) DEC Jeric Kasunic  (American), 5-3"

"285 Mike Hughes (Hofstra) DEC Garrett Ryan(Columbia University), 4-0"


Holiday Inn Open

125: Mitch Maginnis (Nebraska) won by decision over Cole Verner (Wyoming) (Dec 10-5)

133: Ronald Stevens (Wyoming) won by decision over Trent Olson (Wyoming) (Dec 3-2)

141: Brandon Ball (Fort Hays) won by major decision over Garrett O`Shea (Air Force) (Maj 9-0)

149: Collin Purinton (Nebraska) and Jordan Shearer (Nebraska) (DFF)

157: Archie Colgan (Wyoming) won by decision over Dewey Krueger (Wyoming) (Dec 8-2)

165: Branson Ashworth (Wyoming) won by fall over Keenan Willits (Colorado School Of Mines) (Fall 1:20)

174: Mikey Labriola (Unattached-Nebraska) won by major decision over Kyle Pope (Wyoming) (Maj 16-7)

184: Chaz Polson (Wyoming) won by fall over Carless Looney (Wyoming) (Fall 1:09)

197: Cale Davidson (Wyoming) won by decision over Konnor Schmidt (Western State Colorado University) (Dec 4-2)

285: Caleb Cotter (Central Oklahoma) won in sudden victory - 1 over Odgerel Batkhishig (Northwest Kansas Technical College) (SV-1 3-1)


"North Carolina State 48, UNC-Pembroke 0"

"125: Tommy Cox, NCST tf Nick Dagette, Pembroke, 15-0"

"133: Will Clark, NCST fall Ethan Hnasko, Pembroke, 5:39"

"141: Jamel Morris, NCST dec. Shawn Scribner, Pembroke, 22-20"

"149: Beau Donahue, NCST fall Luke McDonough, Pembroke, 4:47"

"157: Hayden Hidlay, NCST tf Eric Milks, Pembroke, 18-3"

"165: Brian Hamann, NCST md. Blaine Shade, Pembroke, 17-7"

"174: Daniel Bullard, NCST fall Joey DiMartino, Pembroke, 4:15"

"184: Pete Renda, NCST dec. Faris Teia, Pembroke, 6-1"

"197: Tyler Johnson, NCST fall Bryce Walker, Pembroke, 0:17"

"285: Michael Boykin, NCST md. Andrew Colborn, Pembroke, 14-5"


"Utah Valley 34, Reinhardt 6"

"125: Josh Jensen, UVU md. Jordan Pitt, Reinhardt, 19-6"

"133: Durbin Lloren, UVU md. Ethan Hnasko, UNCP, 10-0"

"141: Jarod Maynes, UVU tf. Shawn Scribner, UNCP, 18-3"

"149: Matt Ontiveros, UVU, 9-1 tf. Luke McDonough, UNCP, 15-0"

"157: Eric Milks, UNCP tf. Raider Lofthouse, UVU, 10-6"

"165: Demetrius Romero, UVU tf. Josh Watts, UNCP, 18-2"

"174: Joey DiMartino, UNCP wins by forfeit "

"184: Gary Jantzer, UVU dec. Faris Teai, UNCP, 5-3"

"197: Tanner Orndorff, UVU tf. Bryce Walker, UNCP, 17-2"

"285: Ben Andrew, UVU md. Andrew Colborn, UNCP, 17-7"



"North Carolina State 54, Reinhardt 0"

"125: Tommy Cox, NCST tf Jordan Pitt, Reinhardt, 15-0"

"133: Tariq Wilson, NCST tf. Curtis Doctor, Reinhardt, 19-4"

"141: Kevin Jack, NCST dec. inj. default Chase Zemenak, Reinhardt 0:23"

"149: Jake DeAngelo, NCST fall Kalvin Harris, Reinhardt 2:37"

"157: Sam Melikian, NCST fall Caleb Mariakis, Reinhardt 3:37"

"165: Brian Hamann, NCST tf Garrett Klinger, Reinhardt, 16-0"

"174: Daniel Bullard, NCST md. Michael Carew, Reinhardt 10-1"

"184: Pete Renda, NCST tf. Antonio Stewart, Reinhardt,17-2 "

"197: Tyler Johnson, NCST fall Austin Brown, Reinhardt, 1:54"

"285: Malik McDonald, NCST fall Hinton Bolinger, Reinhardt, 2:07"


"North Carolina State 34, Utah Valley University 6"

"125: Taylor Lamont, UVA dec. Tommy Cox, NCST, 8-3"

"133: Tariq Wilson, NCST tf. Durbin Lloren, UVU, 19-1"

"141: Kevin Jack, NCST tf. Jarod Maynes, UVU, 20-5"

"149: Beau Donahue, NCST md. Matt Ontiveros, UVU, 9-1"

"157: Hayden Hidlay, NCST, tf. Raider Lofthouse, UVU, 16-1"

"165: Demetrius Romero, UVU dec. Brian Hamann, NCST, 6-4 SV"

"174: Daniel Bullard, NCST fall. Kieffer Taylor, UVU, 4:12"

"184: Pete Renda, NCST dec. Gary Jantzer, UVU, 3-3"

"197: Michael Macchiavello, NCST dec. Tanner Orndorff, UVU, 7-3"

"285: Malik McDonald, NCST dec. Dustin Dennison, UVU, 3-1 SV"


"Maryland 18, Stanford 15"

"125 lbs, Brandon Cray (MARY) decision Conor Schram (STAN), 8-7"

"133 lbs, Gabe Townsell (STAN) major decision Jhared Simmons (MARY), 17-5"

"141 lbs, Ryan Diehl (MARY) decision Kier (STAN), 6-1"

"149 lbs, Requir Van Der Merwe (STAN) major decision Adam Whitesell (MARY), 15-2"

"157 lbs, Kyle Cochran (MARY) decision Walker Dempsey (STAN), 11-4"

"165 lbs, Brenden Burnham (MARY) decision Brandon Dallavia (STAN), 10-4 (SV)"

"174 lbs, Keaton Subjeck (STAN) decision Josh Ugalde (MARY), 9-5"

"184 lbs, Spencer Woods (MARY) decision Matt Mills (STAN), 6-2"

"197 lbs, Nathan Traxler (STAN) major decision Niko Cappello (MARY), 16-3"

"285 lbs, Youssif Hemida (MARY) decision Nathan Butler (STAN), 3-1"



"Utah Valley 36, North Carolina Pembroke 9 "

"125: Taylor Lamont, UVA fall. Michael Perez, UNCP, 4:32"

"133: Durbin Lloren, UVU md. Ethan Hnasko, UNCP, 10-0"

"141: Jarod Maynes, UVU tf. Shawn Scribner, UNCP, 18-3"

"149: Matt Ontiveros, UVU, 9-1 tf. Luke McDonough, UNCP, 15-0"

"157: Eric Milks, UNCP tf. Raider Lofthouse, UVU, 10-6"

"165: Demetrius Romero, UVU tf. Josh Watts, UNCP, 18-2"

"174: Joey DiMartino, UNCP wins by forfeit "

"184: Gary Jantzer, UVU dec. Faris Teai, UNCP, 5-3"

"197: Tanner Orndorff, UVU tf. Bryce Walker, UNCP, 17-2"

"285: Ben Andrew, UVU md. Andrew Colborn, UNCP, 17-7"



"Sunday, November 19:"
Wolfpack Open - Brackets on Arena

"125: Sean Fausz, NCST dec. Taylor LaMont, UVU, 8-3"

"133: Jamel Morris, NCST dec Tariq Wilson, NCST, 10-5"

"141: Brock Zacherl, Clarion md. Jaime Hernandez, UNC, 16-4"

"149: Jamel Morris, NCST dec. Beau Donahue, NCST, 3-2"

"157: Mitch Finesilver, Duke dec. Cam Coy, UVA, 2-1"

"165: Mekhi Lewis, VT dec. Demetrius Romero, UVU, 9-4"

"174: Evan Delong, Clarion dec. Cody Hughes, VT, 7-3"

