"Tuesday, November 14"
"285: Cary Miller (APP STATE) dec. Zack Parker (OHIO), 3-1"

"Bloomsburg 18, George Mason 17"
"125: Ibrahim Bunduka (Mason) md. Drew Massetti (Bloomsburg), 19-7"
"133: Andy Schutz (Bloomsburg) tf. Victor Echeverria (Mason), 20-5"
"141: Tejon Anthony (Mason) dec. Braden Stahlnecker (Bloomsburg), 10-4"
"149: Matt Raines (Mason) md. Evan Campbell (Bloomsburg), 13-3"
"157: Kevin Laubach, Jr. (Bloomsburg) dec. Creed Lumpp(Mason), 9-5 ÿ ÿ ÿ"
"165: Nate Newberry (Bloomsburg) dec. Brendan May (Mason), 8-4"
"174: Kyle Murphy (Bloomsburg) md. Levko Higgins Mason), 13-3"
"184: Trevor Allard (Bloomsburg) dec. Austin Harrison (Mason), 10-3"
"197: Eli Spencer (Mason) dec. Logan Womelsdorf (Bloomsburg), 8-6"
"285: Matt Voss (Mason) dec. Bruce Graeber (Bloomsburg), 4-2"

"Southern Illinois Edwardsville 21, Cleveland State 20"
125: Zac Gentzler (SIUE) WBF Cameron Lathem (CSU) 5:40
133: Joe Antonelli (SIUE) WBF Andrew Coghill (CSU) 2:04
141: John Muldoon (SIUE) dec. Evan Cheek (CSU) 5-2
149: Tyshawn Williams (SIUE) dec. Ryan Ford (CSU) 11-7
157: Ryan Montgomery (CSU) maj. dec. Karsten Van Velsor (SIUE) 15-4
"165: John Vaughn (CSU) wins by forfeit FF SIUE 18, CSU 10"
174: Gabe Stark (CSU) maj. dec. Logan Gruszka (SIUE) 9-0
184: Nick Corba (CSU) dec. Bryce Shewan (SIUE) 8-4
197: Christan Dulaney (SIUE) dec. John Kelbly (CSU) 12-5
285: Collin Kelly (CSU) dec. Jake McKiernan (SIUE) 5-3

"Indiana 33, Northern Illinois 6"
125: Elijah Oliver (IU) wins by forfeit
133: Alijah Jeffrey (NIU) dec. Garrett Pepple (IU) 3-0
141: Cole Weaver (IU) WBF Anthony Rubino (NIU) 1:21
149: Davey Tunon (IU) dec. Zack Velasquez (NIU) 5-0
157: Jake Danishek (IU) dec. Caden McWhirter (NIU) 6-0
165: Bryce Martin (IU) dec. Andrew Scott (NIU) 7-1
174: Devin Skatzka (IU) WBF Quinton Rosser (NIU) 0:47
184: Norman Conley (IU) dec. Bryce Gorman (NIU) 5-2
197: Jake Hinz (IU) dec. Max Ihry (NIU) 5-3
285: Caleb Gossett (IU) dec. Fletcher Miller (IU) 12-6

"Missouri 36, Old Dominion 3"
125: Michael McGee (ODU) dec. Barlow McGhee (MIZ): 2-1
133: John Erneste (MIZ) dec. Caleb Richardson: 4-0
141: Jaydin Eierman (MIZ) inj. def. Alex Madrigal (ODU): 3:10
149: Grant Leeth (MIZ) fall Kenan Carter (ODU): 5:59
157: Joey Lavallee (MIZ) dec. Larry Early (ODU): 6-2
"165: Connor Flynn (MIZ) dec. Luke Drugac (ODU): 4-2 | MIZ 21, ODU 3"
174: Daniel Lewis (MIZ) tech. fall Seldon Wright (ODU): 15-0 (6:05)
184: Canten Marriott (MIZ) dec. Antonio Agee (ODU): 8-2
197: Wyatt Koelling (MIZ) dec. Noah Bushman (ODU): 4-0
285: Austin Myers (MIZ) major dec. Ali Wahab (ODU): 13-2

"Chattanooga 43, Davidson 3"
125: ÿAlonzo Allen (UTC) ÿTech. Fall 20-2 (3:41) Michael McClelland (Davidson)
133: ÿWade Cummings (UTC) Tech. Fall 17-1 (2:49) Zamir Ode (Davidson)
141: ÿChris Debien (UTC) Dec. 10-8 Dylan Runzo (Davidson)
149: ÿRoman Boylen (UTC) MD 18-4 Aidan Conroy (Davidson)
157: ÿDylan Forzani (UTC) Dec. 3-1 Tony Palumbo (Davidson)
165: ÿChad Pyke (UTC) Tech. Fall 17-1 (2:25) Hunter Costa (Davidson)
174: ÿJustin Lampe (UTC) Fall (1:21) Noah Satterfield (Davidson)
184: ÿBryce Carr (UTC) Fall (2:29) Conor Fenn (Davidson)
197: ÿScottie Boykin (UTC) wins by forfeit
285: ÿWill Cooley (Davidson) Dec. 5-1 Jared Walker (UTC)

"Northwestern 34, Maryland 12"
"125: Sebastian Rivera (NU) Fall Brandon Cray (UMD), 5:53"
"133: Colin Valdiviez (NU) maj. dec. Jhared Simmons (UMD), 10-0"
"141: Alec McKenna (NU) dec. Peter Tedesco (UMD), 4-1"
"149: Ryan Deakin (NU) Fall Adam Whitesell (UMD), 3:56"
"157: Kyle Cochran (UMD) dec. Shayne Oster (NU), 9-3"
"165: Brendan Burnham (UMD) dec. Michael Sepke (NU), 3-2"
"174: Johnny Sebastian (NU) Fall Josh Ugalde (UMD), 3:57"
"184: Mitch Sliga (NU) maj. dec. Spencer Woods (UMD), 10-1"
"197: Zack Chakonis (NU) Tech. Fall Niko Capello (UMD), 16-0 (4:31)"
"285: Youssif Hemida (UMD) Fall #19 Conan Jennings (NU), 5:25"

"Franklin & Marshall 25, VMI 12"
125: Edgar Garcia (F&M) over Clifton Conway (VMI) (Dec 10-3)
133: Hunter Starner (VMI) over Dan Martoccio (F&M) (Fall 6:59)
141: Brett Kulp (F&M) over John Reed (VMI) (TF 20-4 6:02)
149: Sam Butler (F&M) over Dolan Walsh (VMI) (Dec 3-1)
157: Robert DuPont (VMI) over Emmett LiCastri (F&M) (Dec 3-2)
165: Dylan Gumaer (F&M) over Blake Hohman (VMI) (TB-1 2-1)
174: Josh Young (F&M) over Gage Levine (VMI) (MD 12-3)
184: Steven Mercadante (F&M) over Ben Wagner (VMI) (MD 17-7)
197: Taylor Thomas (VMI) over Philip Robilotto (F&M) (Dec 7-4)
285: Antonio Pelusi (F&M) over Jake Tomlinson (VMI) (Dec 7-3)

"North Carolina State 41, Chattanooga -1"
125: Thomas Cox (NCSU) Fall (4:32) Alonzo Allen (UTC)
133: Tariq Wilson (NCSU) MD 12-2 Jake Huffine (UTC)
141: Kevin Jack (NCSU) MD 15-2 Michael Pongracz (UTC)
149: Beau Donahue (NCSU) ? Dec. 12-7 ? Chris Debien (UTC)
157: Hayden Hidley (NCSU) ? Fall 3:22 ? Dylan Forzani (UTC)
165: Brian Hamann (NCSU) ? Dec. 5-3 ? Chad Pyke (UTC)
174: Daniel Bullard (NCSU) ? Dec. 7-2 ? Justin Lampe (UTC)
184: Pete Renda (NCSU) ? Dec. 2-1 ? No. 13 Bryce Carr (UTC)
197: Michael Macchiavello (NCSU) ? Dec. 8-2 ÿScottie Boykin (UTC)
285: ÿMalik McDonald (NCSU) ? Fall (2:04) ? Jared Walker (UTC)
*UTC deducted a team point*


"Sunday, December 3:"

"Penn 16, Campbell 15"
"149: Joe Oliva (Penn) DEC Benjamin Barton (Campbell), 9-3"
"157: Austin Kraisser (Campbell) DEC Jon Errico (Penn), 10-7"
"165: Quentin Perez (Campbell) DEC Joe Velliquette (Penn), 11-6"
"174: Khamari Whimper (Penn) DEC Andrew Morgan (Campbell), 13-9"
"184: Joe Heyob (Penn) DEC Luke Funck (Campbell), 5-1"
"197: Frank Mattiace (Penn) MD Austin McNeil (Campbell), 11-2"
"285: Jere Heino (Campbell) DEC Patrik Garren (Penn), 3-1"
"125: Korbin Meink (Campbell) DEC Daniel Planta (Penn), 8-2"
"133: Nathan Boston (Campbell) DEC Gianni Ghione (Penn), 7-6"
"141: Jake Lizak (Penn) DEC Luke Stewart (Campbell), 6-5"

"Penn State 23, Lehigh 19"
"125: Darian Cruz LEH pinned Devin Schnupp PSU, WBF (1:13)"
"133: Scotty Parker LEH pinned Dominic Giannangeli PSU, WBF (4:12) ÿ"
"141: Luke Karam LEH dec. Jered Cortez PSU, 2-0"
"149: Zain Retherford PSU pinned Cortlandt Schuyler LEH, WBF (1:27)"
"157: Jason Nolf PSU tech fall Ian Brown LEH, 23-8 (TF;6:40) ÿ"
"165: Gordon Wolf LEH maj. dec. Bo Pipher PSU, 24-12"
"174: Mark Hall PSU dec. Jordan Kutler LEH, 3-2 ÿ"
"184: Bo Nickal PSU dec. Ryan Preisch LEH, 3-2 ÿ"
"197: Anthony Cassar PSU dec. Jake Jakobsen LEH, 8-3"
"285: Nick Nevills PSU dec. Jordan Wood LEH, 2-0"

"Penn 35, The Citadel 10"
"149: Tyler Buckiso (The Citadel) DEC Evan DeLuise (Penn), 4-2"
"157: Jon Errico (Penn) DEC Douglas Gudenburr (The Citadel), 4-2"
"165: Joe Velliquette (Penn) FALL Michael Mewhorter (The Citadel), 3:47"
"174: Khamari Whimper (Penn) MD Michael Lopuchanski (The Citadel), 16-6"
"184: Brian Krasowski (Penn) MD Chandler Sambets (The Citadel), 10-0"
"197: Sawyer Root (The Citadel) DEC Robert Ng (Penn), 2-0"
"285: Patrik Garren (Penn) FALL Michael McAleavey (The Citadel), 1:53"
125: Daniel Planta (Penn) wins by forfeit
133: Gianni Ghione (Penn) wins by forfeit
"141: Ethan Philips (The Citadel) MD Tristin DeVincenzo (Penn), 11-3"

"Penn 34, Hofstra 8"
"149: Joe Oliva (Penn) TF Conor Muli (Hofstra), 16-0 (4:22)"
"157: Jon Errico (Penn) MD Ricky Stamm (Hofstra), 17-8"
"165: Sage Heller (Hofstra) DEC Joe Velliquette (Penn), 6-5"
"184: Joe Heyob (Penn) DEC Cory Damiana (Hofstra), 7-5"
"197: Frank Mattiace (Penn) MD Michael Oxley (Hofstra), 15-5"
"285: Michael Hughes (Hofstra) TF Patrik Garren (Penn), 16-0 (2:44)"
"125: Daniel Planta (Penn) DEC Jacob Martin (Hofstra), 5-2"
"133: Gianni Ghione (Penn) FALL Vinny Vespa (Hofstra), 0:59"
"141: Jake Lizak (Penn) TF Charlie Kane (Hofstra), 16-0 (4:43)"

"Hofstra 43, The Citadel 6"
149: Tyler Buckiso (THCI) over Ryan Burkert (HOFS) (Dec 11-5)
157: Ricky Stamm (HOFS) over Rian Burris (THCI) (SV-1 8-6)
165: Sage Heller (HOFS) over Douglas Gudenburr (THCI) (Fall 1:11)
174: Anthony Olivieri (HOFS) over Michael Lopouchanski (THCI) (Fall 1:42)
184: Cory Damiana (HOFS) over Chandler Sambets (THCI) (Fall 0:51)
197: Sawyer Root (THCI) over Nezar Haddad (HOFS) (Dec 6-1)
285: Michael Hughes (HOFS) over Michael McAleavey (THCI) (Fall 1:29)
125: Jacob Martin (HOFS) wins by forfeit
133: Vinny Vespa (HOFS) wins by forfeit
141: Charlie Kane (HOFS) over Ethan Phillips (THCI) (MD 11-1)

"Campbell 30, Hofstra 9"
149: Connor Muli (HOFS) over Benjamin Barton (CAMP) (Dec 3-2)
157: Austin Kraisser (CAMP) over Ricky Stamm (HOFS) (TF 17-0 6:10)
165: Quentin Perez (CAMP) over Sage Heller (HOFS) (Dec 11-9)
174: Andrew Morgan (CAMP) over Anthony Olivieri (HOFS) (MD 13-0)
184: Luke Funck (CAMP) over Cory Damiana (HOFS) (Dec 9-6)
197: Nezar Haddad (HOFS) over Austin McNeil (CAMP) (Dec 4-2)
285: Michael Hughes (HOFS) over Jere Heino (CAMP) (Dec 6-0)
125: Korbin Meink (CAMP) over Jacob Martin (HOFS) (Dec 6-2)
133: Nathan Boston (CAMP) over Vinny Vespa (HOFS) (Fall 4:16)
141: Jonathan Ryan (CAMP) over Garrett Lambert (HOFS) (Fall 4:24)

"South Dakota State 51, Dakota Wesleyan 4"
"125: Connor Brown (SDSU) def. Seth Caro (DWU), by fall 2:11"
"133: Stas Sutera (DWU) major dec. Tyler Pieper (SDSU), 12-1"
"141: Jaxon Fitzgerald (SDSU) tech. fall Brandon Scharmer (DWU), 18-0 [2:20]"
149: Isaac Andrade (SDSU) wins by forfeit
"157: Luke Zilverberg (SDSU) def. Forrest Lewis (DWU), by fall 2:34"
"165: Brett Bye (SDSU) tech. fall Alex Osborne (DWU), 16-0 [2:00]"
"174: Logan Peterson (SDSU) def. Zechariah Westergaard (DWU), by fall 0:46"
"184: Martin Mueller (SDSU) tech. fall Tanner Wernsman (DWU), 18-0 [2:04]"
"197: Nate Rotert (SDSU) def. Nick Woslum (DWU), by fall 0:55"
285: Blake Wolters (SDSU) wins by forfeit

"South Dakota State 45, Northern State 4"
"125: Connor Brown (SDSU) tech. fall Jay Maxville (NSU), 18-0 [2:30]"
"133: Kenny Jones (NDSU) major dec. Tyler Pieper (SDSU), 12-2"
"141: Isaac Andrade (SDSU) tech. fall Josh Moore (NSU), 16-1 [2:19]"
"149: Colten Carlson (SDSU) dec. Bryan Burnett (NSU), 17-15 [SV-1]"
157: Luke Zilverberg (SDSU) wins by forfeit
"165: Logan Peterson (SDSU) major dec. Blake Perryman (NSU), 12-4"
"174: Brett Bye (SDSU) def. David Murphy (NSU), by fall 1:44"
"184: Martin Mueller (SDSU) tech. fall Riley Lura (NSU), 16-1 [4:10]"
"197: Nate Rotert (SDSU) tech. fall Diego Gallegos (NSU), 20-3 [4:07]"
"285: Blake Wolters (SDSU) def. Justice Horn (NSU), by fall 1:49"

"South Dakota State 49, Augustana 0"
125: Connor Brown (SDSU) wins by forfeit
133: Tyler Pieper (SDSU) wins by forfeit
"141: Henry Pohlmeyer (SDSU) dec. Colin Ayers (AU), 6-2"
"149: Colten Carlson (SDSU) major dec. Oscar Ramirez-Hernandez (AU), 12-1"
"157: Luke Zilverberg (SDSU) def. Bailey Neises (AU), by fall 6:37"
"165: Logan Peterson (SDSU) major dec. Regan Bye (AU), 15-2"
"174: David Kocer (SDSU) def. Lukas Poloncic (AU), by fall 5:59"
"184: Martin Mueller (SDSU) major dec. Aero Amo (AU), 12-2"
"197: Nate Rotert (SDSU) major dec. Clayton Wahlstrom (AU), 15-5"
"285: Alex Macki (SDSU) def. Luke Nohns (AU), by fall 4:04"

"George Mason 32, Sacred Heart 10"
"125: Ibrahim Bunduka (George Mason) MAJ Ryan Burns (Sacred Heart), 16-7"
"133: Victor Echeverria (George Mason) FALL Timmy Johnson (Sacred Heart), 4:58"
"141: Trevor Mello (George Mason) DEC Chris Cornell (Sacred Heart), 8-3"
"149: Matt Raines (George Mason) MAJ Alex Harnsberger (Sacred Heart), 12-2"
"157: Paul Klee (Sacred Heart) MAJ Creed Lumpp (George Mason), 17-5"
"165: Brendan May (George Mason) DEC Patrick O'Donnell (Sacred Heart), 8-3"
"174: Dom Celli (Sacred Heart) FALL Levko Higgins (George Mason), 3:21"
"184: Phillip Stolfi (George Mason) DEC Tom Grosso (Sacred Heart), 10-4"
"197: Eli Spencer (George Mason) DEC Mark Boyle (Sacred Heart), 5-3"
"285: Matt Voss (George Mason) FALL John Hartnett (Sacred Heart), 2:13"

"Thursday, December 7:"

"Wisconsin 32, Maryland 6"
125: Ethan Rotondo (Wisconsin) over Brandon Cray (Maryland) (Dec 7-4)
133: Jens Lantz (Wisconsin) over Jhared Simmons (Maryland) (Dec 7-2)
141: Eli Stickley (Wisconsin) over Ryan Diehl (Maryland) (MD 14-1)
149: Patrick Spray (Wisconsin) over Peter Tedesco (Maryland) (Dec 8-6)
157: Andrew Crone (Wisconsin) over Justin Alexander (Maryland) (MD 10-2)
165: Evan Wick (Wisconsin) over Brendan Burnham (Maryland) (MD 13-3)
174: Ryan Christensen (Wisconsin) over Josh Ugalde (Maryland) (MD 13-2)
184: Ricky Robertson (Wisconsin) over Spencer Woods (Maryland) (Dec 6-0)
197: Hunter Ritter (Wisconsin) over Niko Cappello (Maryland) (MD 10-0)
285: Youssif Hemida (Maryland) over Ben Stone (Wisconsin) (Fall 1:11)

"Friday, December 8:"

"Navy 22, Drexel 13"
125: Zack Fuentes (DU) WBF Brant Leadbeter (Navy) @ 4:05
"133: Austin DeSanto (DU) DEC Cody Trybus (Navy), 13-6"
"141: Nicholas Gil (Navy) MAJ Julian Flores (DU), 12-3"
"149: Corey Wilding (Navy) DEC Trevor Elfvin (DU), 14-11"
"157: Zack Davis (Navy) DEC Evan Barczak (DU), 10-4"
"165: Drew Daniels (Navy) DEC Ebed Jarrell (DU), 3-2"
"174: Jadaen Bernstein (Navy)? DEC Austin Rose (DU), 4-0"
"184: Michael Coleman (Navy) DEC Joshua Murphy (DU), 6-2"
"197: Stephen Loiseau (DU) MAJ Steban Cervantes (Navy), 11-2"
"285: Austin Faunce (Navy) DEC Sean O'Malley (DU), 3-2"

"Sacred Heart 46, American International College 8"
125: Ryan Burns (Sacred Heart) wins by forfeit
"133: Timmy Johnson (Sacred Heart) FALL Jordan Brock (AIC), 1:54,"
141: Chris Cornell (Sacred Heart) wins by forfeit
"149: JoJo Gonzalez (AIC) dec. Alex Harnsberger, 16-9"
"157: Paul Klee (Sacred Heart) FALL Christian Echevarria (AIC),"
165: Will Schmidt (Sacred Heart) wins by forfeit
"174: Dom Celli (Sacred Heart) maj dec. Isaiah Collins (AIC), 14-3"
184: Thomas Grosso (Sacred Heart) wins by forfeit
197: Mark Boyle (Sacred Heart) wins by forfeit
"285: Jenard Rosemond (AIC) tech fall John Hartnett (Sacred Heart), 21-6"

"Gardner-Webb 26, VMI 16"
125: Clifton Conway (VMI) wins by forfeit
133: Philip Anderson (Gardner-Webb) over Hunter Starner (VMI) (Dec 4-1)
141: Denton Spencer (Gardner-Webb) over Jacob Mills (VMI) (Fall 1:11)
149: Joby Armenta (Gardner-Webb) over Michael Hulcher (VMI) (Fall 1:08)
157: Tyler Marinelli (Gardner-Webb) over Robert DuPont (VMI) (MD 12-4)
165: Blake Hohman (VMI) over Joshua Walker (Gardner-Webb) (MD 12-4)
174: Christian Maroni (Gardner-Webb) over Cade Kiely (VMI) (Dec 6-1)
184: Cole Graves (Gardner-Webb) over Jack Scalio (VMI) (MD 21-9)
197: Taylor Thomas (VMI) over Anthony Perrine (Gardner-Webb) (Dec 4-2)
285: Jake Tomlinson (VMI) over Jackson Price (Gardner-Webb) (Dec 9-4)

"Eastern Michigan 29, Cleveland State 13"
149: Kyle Springer (EMU) over Ryan Ford (CSU) (Pin 5:37)
157: Ryan Montgomery (CSU) over J.J. Wolfe (EMU) (Dec 5-3)
165: Zac Carson (EMU) over Georgio Poullas (CSU) (Dec 7-5)
174: Gabe Stark (CSU) over Andrew McNally (EMU) (Pin 2:01)
184: Nick Corba (CSU) over Jared Leidich (EMU) (MD 11-0)
197: Kayne MacCallum (EMU) over John Kelbly (CSU) (Pin 4:28)
HWT: Gage Hutchison (EMU) over Collin Kelly (CSU) (Dec 2-0)
125: Tomas Gutierrez (EMU) over John Martin (CSU) (Dec 10-4)
133: Armando Torres (EMU) over Andrew Coghill (CSU) (TF 16-0)
141: Sa'Derian Perry (EMU) over Evan Cheek (CSU) (Dec 6-3)

"South Dakota State 23, Central Michigan 16"
125: Connor Brown (South Dakota State) over Drew Hildebrandt (Central Michigan) (Dec 5-3)
133: Seth Gross (South Dakota State) over Dresden Simon (Central Michigan) (MD 16-2)
141: Mason Smith (Central Michigan) over Henry Pohlmeyer (South Dakota State) (Dec 5-4)
149: Justin Oliver (Central Michigan) over Colten Carlson (South Dakota State) (MD 10-2)
157: Luke Zilverberg (South Dakota State) over Blake Montrie (Central Michigan) (Fall 3:24)
165: Logan Parks (Central Michigan) over Zach Carlson (South Dakota State) (Fall 0:53)
174: David Kocer (South Dakota State) over Christian Brucki (Central Michigan) (Dec 10-5)
184: Jordan Ellingwood (Central Michigan) over Brady Ayers (South Dakota State) (Dec 9-4)
197: Nate Rotert (South Dakota State) over Jordan Atienza (Central Michigan) (MD 16-5)
285: Alex Macki (South Dakota State) over Matt Stencel (Central Michigan) (Dec 7-5)

"Iowa 23, Rutgers 15"
"125: Nick Suriano (Rutgers) tech fall Justin Stickley (Iowa), 24-5"
"133: Scott Delvecchio (Rutgers) maj dec. Paul Glynn (Iowa), 12-4"
"141: Mike Van Brill (Rutgers) dec. Carter Happel (Iowa), 3-2"
"149: Brandon Sorensen (Rutgers) dec. Eleazar De Luca (Rutgers), 4-1"
"157: Michael Kemerer (Iowa) tech fall Brett Bonner (Rutgers), 24-8"
"165: Alex Marinelli (Iowa) dec. Richie Lewis (Rutgers), 6-4 SV1"
"174: Joey Gunther (Iowa) dec. Joe Grello (Rutgers), 5-4"
"184: Nick Gravina (Rutgers) dec. Mitch Bowman (Iowa), 4-0"
"197: Cash Wilcke (Iowa) dec. Kevin Mulligan (Rutgers), 8-3"
"285: Sam Stoll (Iowa) FALL Razohnn Gross (Rutgers), 2:40"

"Michigan State 18, Buffalo 17"
"125: Rayvon Foley (MSU) won by sudden victory over Kyle Akins (UB), 8-6"
"133: Bryan Lantry (UB) won by major decision over Nathan Ellis, 16-6"
"141: Javier Gasca (MSU) won by major decision over Blake Retell (UB), 10-1"
"149: Jason Estevez (UB) won by decision over Jwan Britton (MSU), 4-3"
"157: Jake Tucker (MSU) won my major decision over Kobe Garrehy (UB), 13-4"
"165: Logan Ritchie (MSU) won by decision over Derek Holcomb (UB), 10-5"
"174: Drew Hughes (MSU) won by decision over Ryan Kromer (UB), 4-3"
"184: Brett Perry (UB) won by decision over Shwan Shadaia (MSU), 5-3"
"197: Joe Ariola (UB) won by decision over Nick May (MSU), 6-2"
"285: Jake Gunning (UB) won by decision over Christian Rebottaro (MSU), 8-4"
*Michigan State wins on criteria

"Cal State Bakersfield 30, Fresno State 7"
"157: Coleman Hammond (CSUB) dec. Greg Gaxiola (FSU), 4-1"
"165: Lorenzo De La Riva (CSUB) maj dec. Isaiah Hokit (FSU), 13-2"
"174: Bryan Battisto (CSUB) dec. Dominic Kincaid (FSU), 4-2"
"184: Dominic Ducharme (CSUB) FALL Angel Solis (FSU), 1:14"
"197: Matt Williams (CSUB) dec. Richie Brandt (FSU), 7-3"
"285: AJ Nevills (FSU) dec. Mark Penyacsek (CSUB), 7-1"
"125: Sergio Mendez (FSU) dec. Sean Williams (FSU), 10-4"
"133: Sean Nickell (CSUB) tech fall Trevor Williams (CSUB), 15-0"
"141: Russell Rohlfing (CSUB) dec. Chris De Loza (FSU), 12-5"
"149: Khristian Olivas (FSU) maj. dec Kalani Tonge (CSUB), 11-1"

"Saturday, December 9:"

"West Virginia 24, Pitt 10"
125: Zeke Moisey (West Virginia) over Brendan Price (Pittsburgh) (Fall 6:39)
133: Dom Forys (Pittsburgh) over Matthew Schmitt (West Virginia) (Dec 9-7)
141: Nick Zanetta (Pittsburgh) over Christian Monserrat (West Virginia) (Dec 7-1)
149: Kyler Rea (West Virginia) over Alesandro Murray (Pittsburgh) (MD 15-3)
157: Zach Moore (West Virginia) over Taleb Rahmani (Pittsburgh) (Dec 3-1)
165: Nick Kiussis (West Virginia) over Jake Wentzel (Pittsburgh) (Dec 8-3)
174: Parker VonEgidy (West Virginia) over Austin Bell (Pittsburgh) (MD 10-2)
184: Brenden McRill (West Virginia) over Gregg Harvey (Pittsburgh) (Dec 7-4)
197: Jacob Smith (West Virginia) over Kellan Stout (Pittsburgh) (TB-1 5-2)
285: Ryan Solomon (Pittsburgh) over Brandon Ngati (West Virginia) (MD 8-0)
*WVU deducted two team points during the dual

"Cleveland State 35, John Caroll 12"
285: Collin Kelly (Cleveland State) wins by forfeit
125: Cameron Lathem (Cleveland State) over Alex Reyes (John Carroll) (Fall 1:53)
133: Dominic Devine (John Carroll) over Andrew Coghill (Cleveland State) (Fall 5:37)
141: Sam Matzek (Cleveland State) over Jarrod Brezovec (John Carroll) (Dec 10-7)
149: Jarrad Lasko (John Carroll) over Ryan Ford (Cleveland State) (Dec 3-1)
157: Ryan Montgomery (Cleveland State) over Austin Victor (John Carroll) (Dec 3-2)
165: Georgio Poullas (Cleveland State) over Vittorio Santillo (John Carroll) (Fall 3:58)
174: Blake Dixon (John Carroll) over Caleb Stockmaster (Cleveland State) (Dec 11-8)
184: Nick Corba (Cleveland State) over Jimmy Suhayda (John Carroll) (TF 18-2 6:30)
197: John Kelby (Cleveland State) over John Szep (John Carroll) (Fall 3:22)

"Wisconsin 38, Wisconsin Whitewater 3"
"125: Ethan Rotondo (Wisconsin) dec Mike Tortorice (UW-Whitewater), 4-2"
"133: Jens Lantz (Wisconsin) dec. Hazen Rice (UW-Whitewater), 8-2"
"141: Eli Stickley (Wisconsin) dec. Devin Tortorice (UW-Whitewater), 11-4"
"149: Wilder Wichman (UW-Whitewater) dec. Patrick Spray (Wisconsin), 7-2"
"157: Jared Scharenbrock (Wisconsin) FALL Isaiah Vela (UW-Whitewater), 5:54"
"165: Evan Wick (Wisconsin) FALL Ryder Sigler (UW-Whitewater), 2:58"
"174: Ryan Christensen (Wisconsin) dec. Nicholas Bonomo (UW-Whitewater), 7-1"
"184: Ricky Robertson (Wisconsin) maj dec. Nick Stencel (UW-Whitewater), 12-4"
"197: Brady Wetter (Wisconsin) tech fall Nick Sundberg (UW-Whitewater), 16-0"
"285: Ben Stone (Wisconsin) tech fall Dylan Uzumecki(UW-Whitewater), 15-0"

"Wyoming 24, Iowa State 14"
"125: Jakob Allison (ISU) fall Trent Olson (WYO), 3:48."
"133: Montorie Bridges (WYO) dec. Ian Parker (ISU), 4-3."
"141: Bryce Meredith (WYO) fall Kanen Storr (ISU), 1:12."
"149: Jarrett Degen (ISU) dec. Sam Turner (WYO), 7-3."
"157: Chase Straw (ISU) dec. Archie Colgan (WYO), 4-3."
"165: Branson Ashworth (WYO) maj. dec. Colston DiBlasi (ISU), 9-1."
"174: Kyle Pope (WYO) tech fall Colin Strickland (ISU), 19-5 (5:11)."
"184: Chaz Polson (WYO) dec. Dane Pestano (ISU), 6-5."
"197: Cody Vigoren (WYO) dec. Sam Colbray (ISU), 8-5 (TB-1)."
"285: Marcus Harrington (ISU) dec. Hunter Mullins (WYO), 5-3."

"Sunday, December 10:"

"Ohio State 26, Indiana 9"
"125: Elijah Oliver (Indiana) dec. Brakan Mead (Ohio State), 9-5"
"133: Luke Pletcher (Ohio State) dec. Garrett Pepple (Indiana), 4-3"
"141: Joey McKenna (Ohio State) dec. Cole Weaver (Indiana), 8-2;"
"149: Ke-Shawn Hayes (Ohio State) tech fall Davey Tunon (Indiana), 16-0 (2:58)"
"157: Micah Jordan (Ohio State) maj dec. Jake Danishek (Indiana), 14-4"
"165: Cody Burcher (Oho State) dec. Bryce Martin (Indiana), 3-2"
"174: Devin Skatzka (Indiana) dec. Fritz Schierl (Ohio State), 9-5"
"184: Myles Martin (Ohio State) maj dec. Norman Conley (Indiana), 16-5"
"197: Kollin Moore (Ohio State) maj dec. Spencer Irick (Indiana), 14-5"
"285: Fletcher Miller (Indiana) dec. Kevin Snyder (Ohio State), 3-1"

"Iowa 40, Maryland 6"
"125: Justin Stickley (Iowa) dec. Brandon Cray (Maryland), 3-0"
"133: Phillip Laux (Iowa) major dec. Jhared Simmons (Maryland), 13-3"
"141: Carter Happel (Iowa) dec. Ryan Diehl (M), 8-7"
"149: Brandon Sorensen (Iowa) pinned Peter Dedesco (Maryland), 1:20"
"157: Michael Kemerer (Iowa) tech fall Justin Alexander (Maryland), 26-10"
"165: Alex Marinelli (Iowa) pinned Brendan Burnham (Maryland), 2:41"
"174: Joey Gunther (Iowa) dec. Josh Ugalde (Maryland), 3-1"
"184: Mitch Bowman (Iowa) tech fall Spencer Woods (Maryland), 20-5"
"197: Cash Wilcke (Iowa) tech. fall Niko Cappello (Maryland), 19-4"
285: Yousif Hemida (Maryland) wins by forfeit

"Lehigh 41, Penn 6"
"174: Jordan Kutler (Lehigh) tech fall Khamari Whimper (Penn), 15-0 (3:08)"
184: Joe Heyob (Penn) inj def. Ryan Preisch (Lehigh)
"197: Jake Jakobsen (Lehigh) dec. Frank Mattiace (Penn), 3-0"
"285: Jordan Wood (Lehigh) FALL Tyler Hall (Penn), 2:45"
"125: Darian Cruz (Lehigh) wins by forfeit Lehigh leads, 20-6"
"133: Nick Farro (Lehigh dec. Gianni Ghione (Penn), 5-1"
"141: Luke Karam (Lehigh) dec. Jake Lizak (Penn), 8-2"
